file_name,stem,extension,path,relative_path,size_mb,modified_at
DJI_20260510130406_0092_V.JPG,DJI_20260510130406_0092_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130406_0092_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130406_0092_V.JPG,1.064,2026-06-08 10:31:14
DJI_20260510130418_0093_V.JPG,DJI_20260510130418_0093_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130418_0093_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130418_0093_V.JPG,0.967,2026-06-08 10:31:14
DJI_20260510130431_0094_V.JPG,DJI_20260510130431_0094_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130431_0094_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130431_0094_V.JPG,1.145,2026-06-08 10:31:14
DJI_20260510130444_0095_V.JPG,DJI_20260510130444_0095_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130444_0095_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130444_0095_V.JPG,1.151,2026-06-08 10:31:15
DJI_20260510130454_0096_V.JPG,DJI_20260510130454_0096_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130454_0096_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E66\DJI_20260510130454_0096_V.JPG,1.098,2026-06-08 10:31:15
DJI_20260510132201_0001_V.JPG,DJI_20260510132201_0001_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132201_0001_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132201_0001_V.JPG,1.038,2026-06-08 10:31:15
DJI_20260510132230_0003_V.JPG,DJI_20260510132230_0003_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132230_0003_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132230_0003_V.JPG,0.987,2026-06-08 10:31:16
DJI_20260510132247_0004_V.JPG,DJI_20260510132247_0004_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132247_0004_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132247_0004_V.JPG,1.136,2026-06-08 10:31:16
DJI_20260510132305_0005_V.JPG,DJI_20260510132305_0005_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132305_0005_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132305_0005_V.JPG,1.219,2026-06-08 10:31:16
DJI_20260510132315_0006_V.JPG,DJI_20260510132315_0006_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132315_0006_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E67\DJI_20260510132315_0006_V.JPG,1.152,2026-06-08 10:31:17
